he	他\t氦
salisbury	索爾茲伯裏
salish	薩利什
saliva	唾液
salivary	唾液的
salivate	流口水
salivation	流涎
salk	索爾克
salle	薩勒
sallet	薩利特頭盔
sallies	出擊
sallow	灰黃的
sallowish	略灰黃的
sally	薩莉
sallying	出擊
salmagundi	大雜燴
salmon	鮭魚
salmonberry	雲莓
salmonella	沙門氏菌
salomon	所羅門
salon	沙龍
salons	沙龍
saloon	酒吧
saloons	酒吧
salsa	莎莎醬
salsify	婆羅門參
salt	鹽
saltation	跳躍
saltatorial	跳躍的
saltcellar	鹽瓶
salted	加鹽的
salter	鹽工
saltern	鹽田
salters	鹽工
saltier	更鹹
saltiest	最鹹
saltine	蘇打餅乾
saltiness	鹹味
salting	醃製
saltire	聖安德魯十字
salton	索爾頓湖
saltpeter	硝石
saltpetre	硝石
salts	鹽類
saltus	跳躍
saltwater	鹹水
saltworks	鹽廠
salty	鹹的
salubrious	有益健康的
salubrity	健康
saluki	薩路基犬
salutary	有益的
salutation	問候
salutations	問候
salutatory	致詞的
salute	敬禮
saluted	致敬
salutes	敬禮
saluting	致敬
salvable	可挽救的
salvador	薩爾瓦多
salvadoran	薩爾瓦多人
salvage	搶救
salvageable	可搶救的
salvaged	已搶救的
salvager	搶救者
salvages	搶救
salvaging	搶救中
salvation	拯救
salvatore	薩爾瓦託雷
salve	藥膏
salver	托盤
salves	藥膏
salvia	鼠尾草
salvo	齊射
salz	鹽
salzburg	薩爾茨堡
sam	薩姆
sam	薩姆
samantha	薩曼莎
samara	翅果
samaritan	撒瑪利亞人
samarium	釤
samba	桑巴
sambar	水鹿
same	相同
sameness	同一性
samite	錦緞
samlet	幼鮭
samlping	採樣
sammy	薩米
samoa	薩摩亞
samoan	薩摩亞
sampan	舢板
sample	樣本
sampled	已採樣
sampler	採樣器
samplers	採樣器
samples	樣本
sampling	採樣
samplings	採樣
sampson	桑普森
samsara	輪迴
samson	參孫
samsung	三星
samsung galaxy	三星蓋樂世
samuel	塞繆爾
samuels	塞繆爾斯
samuelson	薩繆爾森
samurai	武士
san	聖
sana	薩那
sanatoria	療養院
sanatorium	療養院
sanbenito	悔罪服
sanborn	桑伯恩
sanchez	桑切斯
sancho	桑丘
sanctification	聖化
sanctified	已聖化
sanctify	使聖潔
sanctimonious	僞善的
sanctimony	僞善
sanction	制裁
sanctioned	制裁的
sanctioning	制裁
sanctions	制裁
sanctity	神聖
sanctuaries	避難所
sanctuary	避難所
sanctum	聖所
sand	沙
sandal	涼鞋
sandals	涼鞋
sandarac	山達脂
sandbag	沙袋
sandbagger	作弊者
sandbank	沙洲
sandbar	沙洲
sandblast	噴砂
sandbox	沙箱
sandboy	快樂的人
sandburg	桑德堡
sanded	打磨過的
sander	打磨機
sanderling	三趾濱鷸
sanders	桑德斯
sanderson	桑德森
sandhog	隧道工
sandia	桑迪亞
sandiness	沙質
sanding	打磨
sandisk	閃迪
sandiver	玻璃沫
sandman	睡魔
sandpaper	砂紙
sandpile	沙堆
sandpiper	鷸
sandpit	沙坑
sandra	桑德拉
sands	沙灘
sandstone	砂岩
sandstorm	沙暴
sandusky	桑達斯基
sandwich	三明治
sandwiches	三明治
sandwort	鵝不食
sandy	沙質的
sane	理智的
sanedesk	森迪斯克
sanely	明智地
saner	更理智
sanest	最理智
sanford	桑福德
sang	唱
sangfroid	鎮定
sanguification	血液生成
sanguinarily	血腥地
sanguinary	血腥的
sanguine	樂觀的
sanguineous	含血的
sanhedrin	公會
sanicle	變豆菜
sanify	消毒
sanitarian	衛生員
sanitarium	療養院
sanitary	衛生的
sanitation	衛生
sanitise	消毒
sanitize	消毒
sanity	理智
sank	沉沒
sans	無
sans-serif	無襯線
sansculotte	無套褲漢
sansei	三世
sanskrit	梵語
sanskritic	梵語的
sanskritize	梵語化
santa	聖誕老人
santana	桑塔納
santayana	桑塔亞那
santch	三趾鴉雀
santiago	聖地亞哥
santo	聖徒
santos	桑托斯
sanyo	三洋
sao	聖
sap	樹液
saphead	傻瓜
sapid	有味的
sapidity	滋味
sapien	人
sapience	智慧
sapiens	智人
sapient	智慧的
sapiential	智慧的
sapless	無汁的
sapling	樹苗
saplings	樹苗
saponaceous	肥皂的
saponify	皂化
sapor	味道
sapper	工兵
sapphire	藍寶石
sapphism	女同性戀
sappho	薩福
sappy	多汁的
saprophagous	食腐的
saprophyte	腐生植物
saps	樹液
sapsucker	吸汁啄木鳥
sapwood	邊材
sara	薩拉
saraband	薩拉班德舞
saracen	薩拉森人
saracens	薩拉森人
sarah	莎拉
saran	莎綸
sarasota	薩拉索塔
saratoga	薩拉託加
sarbanes	薩班斯
sarcasm	諷刺
sarcasms	諷刺
sarcastic	諷刺的
sarcoidosis	結節病
sarcophagus	石棺
sardine	沙丁魚
sardinia	撒丁島
sardonic	嘲弄的
sardonyx	纏絲瑪瑙
sargasso	馬尾藻
sargeant	中士
sargent	薩金特
sari	紗麗
sark	襯衣
sarong	紗籠
sars	非典
sars-cov-	新冠病毒
sarsenet	緞子
sartorial	裁縫的
sartorius	縫匠肌
sartre	薩特
sash	窗框
sashay	滑步
saskatchewan	薩斯喀徹溫省
saskatoon	薩斯卡通
sass	頂嘴
sassy	無禮的
sat	坐
sat.	星期六
sata	串行接口
satan	撒旦
satang	薩當
satanic	邪惡的
satanism	撒旦教
satanist	撒旦教徒
satchel	書包
satchels	書包
sate	滿足
sated	滿足的
sateen	緞子
satellite	衛星
satellites	衛星
sates	滿足
satiable	可滿足的
satiate	使飽足
satiation	飽足
satiety	飽足
satin	緞子
satinet	仿緞
sating	滿足
satinwood	緞木
satiny	緞子般的
satire	諷刺
satires	諷刺
satiric	諷刺的
satirise	諷刺
satirist	諷刺作家
satirize	諷刺
satisfaction	滿意
satisfactions	滿意
satisfactorily	滿意
satisfactory	滿意
satisfiability	可滿足性
satisfiable	可滿足
satisfied	滿意
satisfies	滿足
satisfy	滿足
satisfying	令人滿意
satrap	總督
satrapy	總督轄區
saturant	飽和劑
saturate	使飽和
saturated	飽和的
saturates	使飽和
saturating	使飽和
saturation	飽和
saturday	星期六
saturdays	星期六
saturn	土星
saturnalia	農神節
saturnine	憂鬱的
saturnism	鉛中毒
satyr	薩梯
satyric	薩梯的
sauce	醬汁
saucebox	冒失鬼
saucepan	燉鍋
saucepans	燉鍋
saucer	茶碟
saucers	茶碟
sauces	醬汁
saucily	俏皮地
sauciness	俏皮
saucony	索康尼
saucy	俏皮的
saud	沙特
saudi	沙特人
saukville	索克維爾
saul	掃羅
sault	蘇聖瑪麗
sauna	桑拿
saunders	桑德斯
saunter	漫步
saurian	蜥蜴類
sauropod	蜥腳類
saury	秋刀魚
sausage	香腸
sausages	香腸
sauterne	蘇玳酒
sauvignon	長相思
savable	可挽救的
savage	野蠻的
savaged	被摧殘
savagely	野蠻地
savageness	野蠻
savager	更野蠻者
savagers	野蠻者
savagery	暴行
savages	野蠻人
savaging	摧殘
savanna	稀樹草原
savannah	薩凡納
savant	學者
save	保存
saveable	可保存的
saved	已保存的
saveloy	香腸
saver	儲蓄者
savers	儲蓄者
saves	保存
saving	節省
savings	儲蓄
savior	救世主
saviors	救世主
saviour	救世主
savonarola	薩沃納羅拉
savor	品味
savored	品味過的
savoring	品味中
savorless	無味的
savors	品味
savory	美味的
savour	品味
savourless	無味的
savoury	美味的
savoy	薩伏依
savoyard	薩伏依人
savoyards	薩伏依人
savvy	精明的
saw	鋸
sawbuck	鋸木架
sawdust	鋸末
sawed	鋸過
sawfish	鋸鰩
sawfly	鋸蠅
sawhorse	鋸木架
sawing	鋸切
sawmill	鋸木廠
sawmills	鋸木廠
sawpit	鋸木坑
saws	鋸子
sawtooth	鋸齒
sawyer	鋸工
sax	薩克斯
saxhorn	薩克斯號
saxon	撒克遜人
saxonization	撒克遜化
saxonizations	撒克遜化
saxonize	撒克遜化
saxonizes	撒克遜化
saxons	撒克遜人
saxony	薩克森
saxophone	薩克斯管
saxton	薩克斯頓
saxtuba	薩克斯大號
say	說
sayer	說話者
sayers	說話者
sayest	說
saying	說法
sayings	諺語
says	說
sbin	系統二進制
sbjct	主題
scab	痂
scabbard	鞘
scabbards	鞘
scabby	結痂的
scabies	疥瘡
scabiosa	山蘿蔔
scabrous	粗糙的
scad	竹莢魚
scaffold	腳手架
scaffolding	腳手架
scaffoldings	腳手架
scaffolds	腳手架
scagliola	仿大理石
scala	斯卡拉
scalability	可擴展性
scalable	可擴展的
scalar	標量
scalariform	梯狀的
scalars	標量
scald	燙傷
scalded	燙傷的
scalding	滾燙的
scale	規模
scaled	有鱗的
scalene	不等邊的
scaler	定標器
scales	鱗片
scalewing	鱗翅
scaliness	鱗狀
scaling	縮放
scalings	縮放
scallion	青蔥
scallop	扇貝
scalloped	扇形
scallops	扇貝
scalp	頭皮
scalpel	手術刀
scalper	黃牛
scalps	頭皮
scaly	有鱗的
scam	騙局
scammony	藥旋花
scamp	淘氣鬼
scamper	奔跑
scampering	奔跑
scampers	奔跑
scampi	大蝦
scamping	偷工
scampish	頑皮的
scams	騙局
scan	掃描
scandal	醜聞
scandalise	使憤慨
scandalize	使憤慨
scandalmonger	造謠者
scandalous	可恥的
scandals	醜聞
scandinavia	斯堪的納維亞
scandinavian	斯堪的納維亞的
scandinavians	斯堪的納維亞人
scandium	鈧
scanistor	掃描器
scanned	已掃描
scanner	掃描儀
scanners	掃描儀
scanning	掃描
scans	掃描
scansion	韻律分析
scansorial	攀爬的
scant	不足的
scantier	更少的
scanties	短褲
scantiest	最少的
scantily	不足地
scantiness	缺乏
scantling	小木料
scantly	不足地
scanty	不足的
scapegoat	替罪羊
scapegrace	無賴
scapula	肩胛骨
scar	疤痕
scarab	聖甲蟲
scarborough	斯卡伯勒
scarce	稀有的
scarcely	幾乎不
scarceness	稀少
scarcer	更少
scarcity	稀缺
scare	驚嚇
scarecrow	稻草人
scared	害怕
scaremonger	危言聳聽者
scares	驚嚇
scarf	圍巾
scarface	疤面
scarfpin	圍巾別針
scarfskin	表皮
scarification	劃痕
scarifier	鬆土機
scarify	劃破
scaring	驚嚇
scarlatina	猩紅熱
scarlatti	斯卡拉蒂
scarlet	猩紅
scarp	陡坡
scars	疤痕
scarsdale	斯卡斯代爾
scarves	圍巾
scary	可怕
scat	快走
scathe	傷害
scathing	嚴厲的
scatology	糞便學
scatter	散開
scatterbrain	沒頭腦的人
scatterbrained	心不在焉
scattered	分散的
scattergood	揮霍者
scattering	散射
scatters	分散
scatty	瘋癲的
scaup	斑背潛鴨
scavenge	覓食
scavenger	清道夫
scenario	情景
scenarios	情景
scenarist	編劇
scene	場景
scenery	風景
scenes	場景
scenic	風景優美的
scent	氣味
scented	有香味的
scentless	無氣味的
scents	氣味
scepsis	懷疑
scepter	權杖
scepters	權杖
sceptic	懷疑者
sceptical	懷疑的
scepticism	懷疑主義
sceptre	權杖
schaefer	謝弗
schaeffer	謝弗
schafer	謝弗
schaffner	沙夫納
schantz	尚茨
schapiro	夏皮羅
schedulable	可調度的
schedule	時間表
scheduled	已安排的
scheduler	調度器
schedulers	調度器
schedules	時間表
scheduling	調度
scheelite	白鎢礦
scheherazade	山魯佐德
schelling	謝林
schema	模式
schemas	模式
schemata	模式
schematic	示意圖
schematically	示意地
schematics	示意圖
scheme	方案
schemed	策劃的
schemer	策劃者
schemers	策劃者
schemes	方案
scheming	策劃
schiller	席勒
schilling	先令
schism	分裂
schismatic	分裂的
schist	片岩
schistose	片岩狀
schistous	片岩的
schizo	分裂
schizoid	類精神分裂
schizophrenia	精神分裂症
schizophrenic	精神分裂的
schizophyte	裂殖植物
schlep	費力攜帶
schlesinger	施萊辛格
schlitz	施利茨
schloss	城堡
schmaltz	感傷
schmidt	施密特
schmitt	施密特
schmo	傻瓜
schmooze	奉承
schmuck	蠢貨
schnabel	施納貝爾
schnauzer	雪納瑞犬
schneider	施耐德
schnook	笨蛋
schnozzle	大鼻子
schoenberg	勳伯格
schofield	斯科菲爾德
scholar	學者
scholarly	學術的
scholars	學者
scholarship	獎學金
scholarships	獎學金
scholastic	學術的
scholastically	學術上
scholasticism	經院哲學
scholastics	經院學者
scholium	註釋
school	學校
schoolbag	書包
schoolbook	教科書
schoolboy	男生
schoolboys	男生
schoolchild	學童
schooled	受過教育
schooler	學生
schoolers	學生
schoolfellow	同學
schoolgirl	女生
schoolhouse	校舍
schoolhouses	校舍
schooling	教育
schoolmarm	女教師
schoolmaster	男教師
schoolmasters	男教師
schoolmate	同學
schoolmiss	女學生
schoolmistress	女教師
schoolroom	教室
schoolrooms	教室
schools	學校
schoolteacher	教師
schoolteaching	教學
schoolyard	校園
schooner	縱帆船
schopenhauer	叔本華
schottische	肖蒂什舞
schottky	肖特基
schroeder	施羅德
schroedinger	薛定諤
schubert	舒伯特
schultz	舒爾茨
schulz	舒爾茨
schumacher	舒馬赫
schuman	舒曼
schumann	舒曼
schuss	高速直滑
schuster	舒斯特
schuyler	斯凱勒
schuylkill	斯庫爾基爾河
schwa	弱央元音
schwab	施瓦布
schwarmerei	狂熱
schwartz	施瓦茨
schwarzenegger	施瓦辛格
schweitzer	施韋策
sci	科學引文索引
sciatic	坐骨的
sciatica	坐骨神經痛
science	科學
sciences	科學
scientific	科學的
scientifically	科學地
scientist	科學家
scientists	科學家
scientology	科學教
scimitar	彎刀
scintilla	絲毫
scintillant	閃爍的
scintillate	閃爍
scintillator	閃爍體
scion	後裔
scioptic	暗箱的
scission	分裂
scissor	剪刀
scissored	剪斷
scissoring	剪開
scissors	剪刀
sclera	鞏膜
sclerometer	硬度計
sclerosis	硬化
sclerotic	硬化的
sclerous	硬質的
scoff	嘲笑
scoffed	嘲笑了
scoffer	嘲笑者
scoffing	嘲笑
scoffingly	嘲弄地
scofflaw	違法者
scoffs	嘲笑
scold	責罵
scolded	責罵了
scolding	責罵
scolds	責罵
scolex	頭節
scolopendra	蜈蚣
sconce	壁燈
scone	司康餅
scooby	史酷比
scooby-doo	史酷比狗
scoop	舀
scooped	舀了
scoopful	一勺的量
scooping	舀取
scoops	舀勺
scoot	疾走
scooter	滑板車
scooters	滑板車
scope	範圍
scoped	已界定
scopes	範圍
scoping	界定
scorbutic	壞血病的
scorch	燒焦
scorched	燒焦的
scorcher	炎熱天
scorches	燒焦痕跡
scorching	灼熱的
score	得分
scoreboard	記分牌
scorecard	記分卡
scored	已得分
scorekeeper	記分員
scoreless	零分的
scorer	得分者
scorers	得分者
scores	得分
scoria	礦渣
scoriaceous	礦渣狀
scorify	造渣
scoring	得分
scorings	得分記錄
scorn	輕蔑
scorned	被蔑視
scorner	蔑視者
scornful	輕蔑的
scornfully	輕蔑地
scorning	蔑視
scorns	蔑視
scorpio	天蠍座
scorpion	蠍子
scorpions	蠍子
scot	蘇格蘭人
scotch	阻止
scotchgard	思高潔
scotchman	蘇格蘭男人
scotia	斯科舍
scotian	斯科舍的
scotland	蘇格蘭
scotoscope	暗視儀
scots	蘇格蘭的
scotsman	蘇格蘭男人
scotsmen	蘇格蘭男人
scott	斯科特
scottish	蘇格蘭
scottsdale	斯科茨代爾
scotty	斯科蒂
scoundrel	惡棍
scoundrels	惡棍
scour	沖刷
scoured	沖刷過
scourge	災禍
scouring	沖刷中
scourings	沖刷物
scours	沖刷
scout	偵察
scouted	偵察過
scouter	偵察員
scouting	偵察中
scoutmaster	偵察隊長
scouts	偵察員
scow	駁船
scowl	怒視
scowled	怒視過
scowling	怒視中
scowls	怒視
scrabble	拼字遊戲
scrag	瘦弱者
scraggly	蓬亂的
scraggy	瘦削的
scram	快走
scramble	攀爬
scrambled	攀爬過
scrambler	擾頻器
scrambles	爭奪
scrambling	爭奪
scranton	斯克蘭頓
scrap	廢料
scrapbook	剪貼簿
scrapbooking	剪貼
scrape	刮擦
scraped	刮擦
scraper	刮刀
scrapers	刮刀
scrapes	刮擦
scraping	刮擦
scrapings	刮屑
scrapped	廢棄
scrapple	肉餅
scrappy	鬥志旺盛
scraps	碎屑
scratch	抓痕
scratched	抓撓
scratcher	抓撓器
scratchers	抓撓器
scratches	抓痕
scratching	抓撓
scratchy	粗糙的
scrawl	潦草書寫
scrawled	潦草書寫
scrawling	潦草書寫
scrawls	潦草書寫
scrawny	骨瘦如柴
scream	尖叫
screamed	尖叫
screamer	尖叫者
screamers	尖叫者
screaming	尖叫
screams	尖叫
scree	碎石
screech	尖叫聲
screeched	尖叫
screeches	尖叫
screeching	尖叫
screed	長篇大論
screen	屏幕
screened	篩選
screenfloat	屏幕浮動
screenflow	屏幕錄製
screenful	滿屏
screening	篩選
screenings	篩選結果
screenplay	劇本
screens	屏幕
screensaver	屏幕保護程序
screensavers	屏幕保護程序
screenshot	截圖
screenshots	截圖
screen studio	屏幕工作室
screenwriter	編劇
screw	螺絲
screwball	怪人
screwdriver	螺絲刀
screwed	擰緊
screwing	擰緊
screws	螺絲
screwworm	螺旋蠅
screwy	古怪
scribal	抄寫的
scribble	塗鴉
scribbled	潦草
scribble diffusion	塗鴉擴散
scribbler	潦草者
scribbles	塗鴉
scribe	抄寫員
scriber	劃線器
scribes	抄寫員
scribing	劃線
scribners	斯克里布納
scrimmage	混戰
scrimp	節省
scrimshank	偷懶
scrimshaw	貝雕
scrip	臨時憑證
scripps	斯克裏普斯
script	腳本
scripting	腳本編寫
scripts	腳本
scriptural	聖經的
scripture	經文
scriptures	經文
scriptwriter	編劇
scrivener	文書
scrod	幼鱈
scrofula	瘰癧
scrofulous	患瘰癧的
scroll	卷軸
scrolled	捲起的
scrolling	滾動
scrolls	卷軸
scrollwork	渦卷裝飾
scrooge	吝嗇鬼
scroop	嘎吱聲
scrotal	陰囊的
scrotum	陰囊
scrounge	乞討
scrub	擦洗
scrubbiness	矮小
scrubby	矮小的
scrubwoman	清潔女工
scruff	頸背
scruffy	邋遢的
scrumptious	美味的
scrunch	壓皺
scruple	顧忌
scrupulosity	謹慎
scrupulous	審慎的
scrupulously	審慎地
scrutable	可理解的
scrutator	審查者
scrutineer	監票員
scrutinize	細察
scrutinized	細察的
scrutinizing	細察的
scrutiny	審查
scsi	接口
scuba	潛水
scud	飛毛腿
scuff	磨損
scuffle	混戰
scuffled	混戰了
scuffles	混戰
scuffling	混戰中
scull	划槳
sculler	劃手
scullery	洗碗間
scullion	幫廚
sculp	雕刻
sculpt	雕刻
sculpted	雕刻的
sculptor	雕塑家
sculptors	雕塑家
sculptress	女雕塑家
sculpts	雕刻
sculptural	雕塑的
sculpture	雕塑
sculptured	雕塑的
sculptures	雕塑
scum	浮渣
scumble	薄塗
scummy	卑劣的
scup	鯛魚
scupper	排水孔
scurf	皮屑
scurfy	皮屑的
scurried	疾走
scurrility	粗話
scurrilous	粗俗的
scurry	快跑
scurvily	卑鄙地
scurvy	壞血病
scut	短尾
scutage	盾牌錢
scutate	盾狀的
scutcher	打麻工
scute	鱗甲
scutellum	小盾片
scuttle	天窗
scuttlebutt	謠言
scuttled	鑿沉
scuttles	煤鬥
scuttling	急趕
scutum	盾片
scylla	斯庫拉
scythe	鐮刀
scythes	鐮刀
scythia	斯基泰
sddm	顯示管理器
simple desktop display manager	簡單桌面顯示管理器
sdk	開發工具包
software development kit	軟件開發工具包
sdlc	軟件生命週期
sea	海
seabed	海牀
seabird	海鳥
seaboard	海岸
seaborg	西博格
seaborne	海運的
seabrook	西布魯克
seacoast	海岸
seacoasts	海岸
seacraft	船隻
seafarer	海員
seafaring	航海
seafloor	海底
seafood	海鮮
seafowl	海鳥
seafront	海濱
seagate	希捷
seagoing	遠洋的
seagram	西格拉姆
seagull	海鷗
seahawks	海鷹
seahorse	海馬
seakeeping	適航性
seal	海豹
sealant	密封劑
sealed	密封的
sealer	密封器
sealery	捕豹場
sealing	密封
seals	海豹
sealskin	海豹皮
sealy	西利
seam	接縫
seaman	水手
seamark	航標
seamed	有縫的
seamen	水手
seaming	縫合
seamless	無縫的
seamount	海山
seams	接縫
seamstress	女裁縫
seamy	醜惡的
sean	肖恩
seance	降神會
seapiece	海景畫
seaplane	水上飛機
seaport	海港
seaports	海港
seaquarium	海洋館
sear	燒灼
search	搜索
searchable	可搜索的
searched	搜索過的
searcher	搜索者
searchers	搜索者
searches	搜索
searching	搜索的
searchingly	探究地
searchings	搜索
searchlight	探照燈
seared	燒焦的
searing	灼熱的
searingly	灼熱地
sears	西爾斯
seas	海洋
seascape	海景
seashell	貝殼
seashore	海岸
seashores	海岸
seasick	暈船
seaside	海邊
season	季節
seasonable	合時宜的
seasonably	合時宜地
seasonal	季節性的
seasonally	季節性地
seasoned	經驗豐富的
seasoner	調味者
seasoners	調味者
seasoning	調味
seasonings	調味料
seasons	季節
seat	座位
seatbelt	安全帶
seated	就座的
seating	座位安排
seats	座位
seattle	西雅圖
seaving	海風
seaward	向海的
seawater	海水
seaway	海道
seaweed	海藻
seaworthiness	適航性
seaworthy	適航的
sebaceous	皮脂的
sebastian	塞巴斯蒂安
sec	秒
secant	正割
secede	脫離
seceded	已脫離
secedes	脫離
seceding	脫離中
secern	區分
secession	脫離
seclude	隔離
secluded	僻靜的
seclusion	隱居
seclusive	隱居的
second	第二
second-hand	二手
secondaries	次要的
secondarily	次要地
secondary	次要的
seconde	秒
seconded	已附議
seconder	附議者
seconders	附議者
secondhand	二手
seconding	附議中
secondly	其次
seconds	秒
secrecy	保密
secret	祕密
secretarial	祕書的
secretariat	祕書處
secretaries	祕書
secretary	祕書
secrete	分泌
secreted	已分泌
secretes	分泌
secretin	分泌素
secreting	分泌中
secretion	分泌物
secretions	分泌物
secretive	祕密的
secretively	祕密地
secretly	祕密地
secretory	分泌的
secrets	祕密
secs	秒
sect	教派
sectarian	宗派的
sectary	教派成員
sectile	可切的
section	部分
sectional	部分的
sectioned	已分區的
sectioning	分區中
sections	部分
sector	部門
sectors	部門
sects	教派
secular	世俗
secularise	世俗化
secularism	世俗主義
secularist	世俗主義者
secularity	世俗性
secularization	世俗化
secularize	使世俗化
secund	次級的
secundus	第二
securable	可獲得的
secure	安全
secured	已擔保
securely	安全地
secures	確保
secure shell	安全外殼協議
securiform	斧形的
securing	保護
securings	保護措施
securities	證券
security	安全
sedan	轎車
sedate	鎮靜的
sedation	鎮靜
sedative	鎮靜劑
sedentary	久坐的
sedge	莎草
sedgwick	塞奇威克
sedgy	多莎草的
sediment	沉積物
sedimentary	沉積的
sedimentation	沉積
sediments	沉積物
sedition	煽動
seditionary	煽動者
seditious	煽動性的
sedona	塞多納
seduce	引誘
seduced	被引誘的
seducement	引誘
seducer	引誘者
seducers	引誘者
seduces	引誘
seducible	易被引誘的
seducing	引誘的
seduction	誘惑
seductions	誘惑
seductive	誘人的
seductress	女誘惑者
sedulous	勤勉的
sedum	景天
see	看見
seed	種子
seedbed	苗牀
seedcake	籽餅
seedcase	種皮
seeded	播種的
seeder	播種機
seeders	播種者
seedily	破舊地
seeding	播種
seedings	播種
seedless	無籽的
seedling	幼苗
seedlings	幼苗
seedream	種子夢
seedance	種子舞
seeds	種子
seedsman	種子商
seedtime	播種期
seedy	破舊的
seeing	看見
seek	尋求
seeker	尋求者
seekers	尋求者
seeking	尋求
seeks	尋求
seel	縫合
seeley	西利
seem	似乎
seemed	似乎
seeming	表面上的
seemingly	表面上
seemliness	得體
seemly	得體的
seems	似乎
seen	看見
seep	滲出
seepage	滲漏
seeped	滲入
seeping	滲出
seeps	滲漏
seer	先知
seeress	女先知
seers	先知
seersucker	泡泡紗
sees	看見
seesaw	蹺蹺板
seethe	沸騰
seethed	沸騰過
seether	沸騰者
seethes	沸騰着
seething	沸騰的
sega	世嘉
segment	段
segmental	分段的
segmentation	分段
segmentations	分段
segmented	已分段
segmentfault	思否
segmenting	分段中
segments	段
sego	西谷
segovia	塞戈維亞
segregate	隔離
segregated	已隔離
segregates	隔離着
segregating	隔離中
segregation	隔離
segregative	隔離的
segregator	隔離器
segundo	塞貢多
seidel	賽德爾
seige	圍攻
seigneur	領主
seignior	領主
seigniorage	鑄幣稅
seigniorial	領主的
seigniory	領地
seiko	精工
seine	塞納河
seising	扣押
seism	地震
seismic	地震的
seismogram	地震圖
seismograph	地震儀
seismological	地震學的
seismologist	地震學家
seismology	地震學
seismometer	地震計
seizable	可扣押的
seize	抓住
seized	被抓住的
seizer	扣押者
seizes	抓住
seizing	扣押
seizor	扣押者
seizure	扣押
seizures	扣押
seldom	很少
select	選擇
selected	選中的
selectee	被選者
selecting	選擇中
selection	選擇
selectional	選擇的
selections	選擇項
selective	有選擇的
selectively	有選擇地
selectivity	選擇性
selectman	鎮委員
selectmen	鎮委員
selector	選擇器
selectors	選擇器
selectric	電動打字機
selectron	選數管
selects	選擇
selena	塞萊娜
selenium	硒
selenograph	月面圖
selenography	月面學
selenology	月球學
self	自我
self-attention	自注意力
selfhood	自我意識
selfish	自私的
selfishly	自私地
selfishness	自私
selfless	無私的
selfridge	塞爾弗裏奇
selfsame	同一
selkirk	塞爾柯克
sell	賣
seller	賣家
sellers	賣家
selling	銷售
sellout	售罄
sells	賣
selma	塞爾瑪
selsyn	自整角機
seltzer	蘇打水
selvage	布邊
selvaged	布邊的
selvagee	布邊
selvedge	布邊
selves	自我
selwyn	塞爾溫
semantic	語義
semantical	語義的
semantically	語義上
semanticist	語義學家
semanticists	語義學家
semantics	語義學
semantic ui	語義界面
semaphore	信號量
semaphores	信號量
semblable	相似
semblance	外表
semen	精液
semester	學期
semesters	學期
semi	半
semiannual	半年一次
semiarid	半乾旱
semiautomated	半自動
semiautomatic	半自動
semibreve	全音符
semichorus	半合唱團
semicircle	半圓
semicircular	半圓形
semiclassic	半經典
semicolon	分號
semicolons	分號
semiconductor	半導體
semiconductors	半導體
semiconscious	半清醒
semidetached	半獨立
semidocumentary	半紀錄片
semidome	半圓頂
semiduplex	半雙工
semifinal	半決賽
semifluid	半流體
semiformal	半正式
semiliterate	半文盲
semilunar	半月形
semimolten	半熔
semimonthly	半月刊
seminal	開創性
seminar	研討會
seminarian	神學生
seminaries	神學院
seminars	研討會
seminary	神學院
semination	播種
seminiferous	生精的
seminole	塞米諾爾人
semiofficial	半官方的
semiology	符號學
semiotic	符號學的
semiotics	符號學
semipermanent	半永久的
semipermanently	半永久地
semipermeable	半透性的
semiprecious	半寶石的
semiprivate	半私人的
semiquaver	十六分音符
semiramis	塞米勒米斯
semirigid	半剛性的
semiskilled	半熟練的
semisolid	半固體的
semite	閃米特人
semitic	閃米特語的
semiticize	閃米特化
semiticizes	閃米特化
semitization	閃米特化
semitizations	閃米特化
semitize	閃米特化
semitizes	閃米特化
semitone	半音
semitransparent	半透明
semitropical	亞熱帶
semivocal	半元音
semivowel	半元音
semiworks	試製廠
semolina	粗麪粉
sempiternal	永恆的
senary	六進制的
senate	參議院
senates	參議院
senator	參議員
senatorial	參議院的
senators	參議員
senatorship	參議員職位
send	發送
sender	發送者
senders	發送者
sending	發送
sendmail	發送郵件
sendout	發送
sends	發送
seneca	塞內卡
senectitude	老年
senegal	塞內加爾
senesce	衰老
senescence	衰老
senescent	衰老的
seneschal	管家
senile	衰老的
senility	衰老
senior	高級
seniority	資歷
seniors	前輩
senna	番瀉
sennet	號聲
sennheiser	森海塞爾
sennight	周
sennit	編繩
sensate	感知
sensation	感覺
sensational	轟動的
sensationalism	煽情
sensationally	轟動地
sensations	感覺
sense	感覺
sensed	察覺
senseless	無意義的
senselessly	無意義地
senselessness	無意義
senses	感官
sensibilities	情感
sensibility	感性
sensible	明智的
sensibly	明智地
sensing	感知
sensitise	使敏感
sensitising	使敏感
sensitive	敏感的
sensitively	敏感地
sensitiveness	敏感
sensitives	敏感者
sensitivities	敏感度
sensitivity	敏感度
sensitization	致敏
sensitize	使敏感
sensitizing	致敏
sensitometer	感光計
sensor	傳感器
sensorium	感覺中樞
sensors	傳感器
sensory	感覺的
sensual	肉慾的
sensualise	使肉慾化
sensualism	肉慾主義
sensualist	肉慾主義者
